id,title,release_date,vote_average,vote_count
200,Star Trek: Insurrection,1998-11-12,6.4,1325
203,Mean Streets,1973-10-14,7.055,2267
204,The Wages of Fear,1953-04-22,8.008,1059
205,Hotel Rwanda,2004-12-22,7.716,3113
207,Dead Poets Society,1989-02-06,8.301,12380
201,Star Trek: Nemesis,2002-12-13,6.3,1552
206,Paradise Found,2003-01-01,6.4,29
1265609,War Machine,2026-02-12,7.254,949
1290821,Shelter,2026-01-28,6.59,321
1523145,Your Heart Will Be Broken,2026-03-26,0.0,0
799882,The Bluff,2026-02-17,6.313,283
1084242,Zootopia 2,2025-11-26,7.606,2222
1054867,One Battle After Another,2025-09-23,7.397,3174
687163,Project Hail Mary,2026-03-15,8.4,69
840464,Greenland 2: Migration,2026-01-07,6.413,630
1327819,Hoppers,2026-03-04,7.7,215
1171145,Crime 101,2026-02-11,7.0,183
1159559,Scream 7,2026-02-25,5.937,350
1236153,Mercy,2026-01-20,7.078,755
1233413,Sinners,2025-04-16,7.474,4057
1088434,Hellfire,2026-02-05,6.904,57
1168190,The Wrecking Crew,2026-01-28,6.881,790
1316092,"""Wuthering Heights""",2026-02-11,6.3,526
1058710,Bloodline Killer,2024-04-26,5.818,44
1193501,Whistle,2026-01-20,6.103,156
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.7,764
1634301,Vanaveera,2026-02-13,7.0,3
755898,War of the Worlds,2025-07-29,4.158,924
1284460,Alpha,2025-08-20,6.401,96
1368166,The Housemaid,2025-12-18,7.237,1533
680493,Return to Silent Hill,2026-01-21,5.029,273
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,6.9,182
384530,Cipher Bureau,1938-10-25,4.4,5
278,The Shawshank Redemption,1994-09-23,8.7,29936
1242898,Predator: Badlands,2025-11-05,7.705,2416
1451398,Re/Member: The Last Night,2025-09-05,4.667,9
1419406,The Shadow's Edge,2025-08-16,7.215,500
969681,Spider-Man: Brand New Day,2026-07-29,0.0,0
1234731,Anaconda,2025-12-24,5.849,799
1387382,Hunting Season,2025-12-05,6.997,154
1317288,Marty Supreme,2025-12-19,7.469,1346
858024,Hamnet,2025-11-26,7.7,1041
1362514,House on Eden,2025-07-25,4.697,38
1217584,Torrente for President,2026-03-13,6.5,11
1306368,The Rip,2026-01-13,7.071,1387
1584215,The Internship,2026-01-13,6.11,59
1170608,Dune: Part Three,2026-12-16,0.0,0
1167307,David,2025-12-14,8.032,108
7451,xXx,2002-08-09,6.0,4819
81471,Tintorera: Killer Shark,1977-04-07,3.791,43
461955,Rakka,2017-06-14,6.994,340
1426964,State of Fear,2026-02-10,5.404,57
803796,KPop Demon Hunters,2025-06-20,8.043,2535
696393,Cold Storage,2026-01-22,6.725,204
1367642,Reminders of Him,2026-03-11,7.2,44
1062722,Frankenstein,2025-10-17,7.653,3144
1601243,Oscar Shaw,2026-01-09,6.692,26
425274,Now You See Me: Now You Don't,2025-11-12,6.544,1240
1448560,Wildcat,2025-11-19,6.19,137
1511417,Bāhubali: The Epic,2025-10-29,6.0,33
157336,Interstellar,2014-11-05,8.468,39145
15598,Alfie,1966-03-29,6.5,225
1272837,28 Years Later: The Bone Temple,2026-01-14,7.204,837
1539104,JUJUTSU KAISEN: Execution,2025-11-07,5.8,86
668333,Waisetsuna onna: kuroi hada ni naku,1985-03-23,9.0,3
24428,The Avengers,2012-04-25,7.969,36519
1401778,Turbulence,2025-11-26,5.9,69
126889,Alien: Covenant,2017-05-09,6.171,9292
1450966,Racek,2025-04-10,0.0,0
276746,The Enchanted,1984-02-03,5.429,8
52702,Superstition,1982-08-26,6.074,129
929831,The Empire,2024-02-21,4.842,98
588787,Ordinary Love,2019-12-06,6.8,156
1297842,GOAT,2026-02-11,7.6,112
1396888,Celestina: Burlesk Dancer,2024-12-04,3.0,4
121872,Ginger & Rosa,2012-10-18,6.0,239
911430,F1,2025-06-25,7.751,3576
1241748,Kalikot,2024-03-12,6.3,13
1291335,Solo Mio,2026-02-05,7.007,69
1582770,Dhurandhar: The Revenge,2026-03-18,9.0,1
179514,Schüleraustausch,2006-02-22,5.944,9
546766,Petmalu,2018-09-05,0.0,0
238,The Godfather,1972-03-14,8.687,22615
1180831,Troll 2,2025-11-30,6.5,438
457332,Hidden Strike,2023-07-06,6.891,1053
1624,Liar Liar,1997-03-21,6.705,6140
798645,The Running Man,2025-11-11,6.766,1280
1650558,Abot Langit,2026-03-13,5.0,1
201760,Panorama,2013-02-23,6.0,3
1363123,The Family Plan 2,2025-11-11,6.538,520
1226863,The Super Mario Galaxy Movie,2026-04-01,0.0,0
1220564,The Secret Agent,2025-07-23,7.3,535
1069905,Jay Kelly,2025-11-14,6.143,384
1159831,The Bride!,2026-03-04,6.282,172
1470086,Ligaw,2025-05-09,6.667,6
1010581,My Fault,2023-06-08,7.751,4019
1424965,Ice Skater,2026-02-24,5.7,10
1561687,Made in Korea,2026-03-12,6.667,15
1381027,The Good Boy,2026-03-06,7.8,31
1191876,From the Ashes,2027-06-01,0.0,0
1124566,Sentimental Value,2025-08-20,7.538,713
4934,Firecreek,1968-01-24,6.322,73
10866,Joy Ride,2001-10-05,6.53,1318
952374,The Aviary,2022-04-29,5.256,39
1006462,The Flood,2023-07-14,6.153,280
1199193,Pose,2026-02-25,6.7,24
438631,Dune,2021-09-15,7.778,14576
1248226,Playdate,2025-11-04,6.03,548
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.32,762
10733,The Alamo,2004-04-07,5.768,360
1234821,Jurassic World Rebirth,2025-07-01,6.299,3112
1246049,Dracula,2025-07-30,7.103,956
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,6.8,239
31250,A Fox's Tale,2008-04-17,1.77,23
1305781,Blades of the Guardians: Wind Rises in the Desert,2026-02-17,7.367,30
1439112,Muzzle: City of Wolves,2025-11-13,6.705,112
875828,Peaky Blinders: The Immortal Man,2026-03-05,8.6,12
413766,Zombie Prom,2006-02-09,6.5,2
634649,Spider-Man: No Way Home,2021-12-15,7.9,21672
1499826,Caring Cabin,2025-07-01,0.0,0
553510,Bizet: Carmen,2017-03-07,0.0,0
1061474,Superman,2025-07-09,7.35,4483
431418,Carnaval,1990-02-07,0.0,0
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.429,27167
27205,Inception,2010-07-15,8.37,38854
1078605,Weapons,2025-08-04,7.266,3066
269149,Zootopia,2016-02-11,7.76,17830
1214931,Nuremberg,2025-11-06,7.341,737
533533,TRON: Ares,2025-10-08,6.476,1270
299536,Avengers: Infinity War,2018-04-25,8.234,31613
10184,He's Just Not That Into You,2009-02-06,6.627,3996
1110034,Kraken,2026-02-06,6.2,8
19995,Avatar,2009-12-16,7.6,33622
628847,Trap House,2025-11-14,6.531,239
1228246,Five Nights at Freddy's 2,2025-12-03,6.694,815
1600672,EVANGELION 30th Anniversary Special Screening,2026-02-21,7.667,3
318572,Aambala,2015-01-15,5.5,23
597,Titanic,1997-12-18,7.903,26892
155,The Dark Knight,2008-07-16,8.527,35340
693134,Dune: Part Two,2024-02-27,8.1,7643
1241470,Osiris,2025-07-25,5.926,210
615457,Nobody,2021-03-18,7.885,8133
122,The Lord of the Rings: The Return of the King,2003-12-17,8.494,26180
701387,Bugonia,2025-10-23,7.353,1647
1083637,Kantara - A Legend: Chapter 1,2025-10-01,6.985,68
795615,The Feast,2021-11-19,5.7,85
1266127,Ready or Not: Here I Come,2026-03-19,7.9,5
571756,Leberkäsjunkie,2019-08-01,6.933,105
1715,The Cider House Rules,1999-12-17,7.075,1270
1095885,SHARE?,2023-11-10,5.5,22
1353333,Mouseboat Massacre,2025-05-09,5.661,28
1198994,Send Help,2026-01-22,7.1,366
4247,Scary Movie,2000-07-07,6.4,7604
1835,"Farewell, My Lovely",1975-08-08,6.623,179
1575337,Cosmic Princess Kaguya!,2026-01-22,8.313,56
617126,The Fantastic 4: First Steps,2025-07-23,7.0,3092
1315303,Primate,2026-01-01,6.534,484
557,Spider-Man,2002-05-01,7.323,20404
575265,Mission: Impossible - The Final Reckoning,2025-05-17,7.2,2638
1249508,Grizzly Night,2026-07-02,0.0,0
496243,Parasite,2019-05-30,8.5,20285
17657,Ice Station Zebra,1968-04-04,6.292,180
262982,The Hollow Point,2016-12-16,5.73,202
638460,Kasganj,2019-04-12,0.0,0
502356,The Super Mario Bros. Movie,2023-04-05,7.59,10345
1291608,Dhurandhar,2025-12-05,6.9,218
852665,My Brother and I,2023-04-21,6.1,35
737783,Cecile,1977-05-30,0.0,0
680,Pulp Fiction,1994-09-10,8.486,29843
950387,A Minecraft Movie,2025-03-31,6.3,2854
1007734,Nobody 2,2025-08-13,6.966,1345
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,7.82,21977
1317672,Love Me Love Me,2026-02-12,5.57,172
1087192,How to Train Your Dragon,2025-06-06,7.929,2672
533535,Deadpool & Wolverine,2024-07-24,7.556,8371
1197306,A Working Man,2025-03-26,6.687,1814
192577,Space Pirate Captain Harlock,2013-09-07,6.611,1076
76600,Avatar: The Way of Water,2022-12-14,7.596,13842
1588846,Ekis,2025-12-19,6.25,4
39287,Stagecoach,1966-04-21,6.0,46
157471,Bosko's Dog Race,1932-06-25,5.2,10
1029575,The Family Plan,2023-12-14,7.228,1825
507244,Afterburn,2025-08-20,6.356,219
808,Shrek,2001-05-18,7.757,18497
603,The Matrix,1999-03-31,8.24,27526
1175942,The Bad Guys 2,2025-07-24,7.674,705
671,Harry Potter and the Philosopher's Stone,2001-11-16,7.898,29268
1310568,Murder at the Embassy,2025-11-14,5.8,37
1490241,Ulya,,0.0,0
1469384,Scope,2025-10-17,9.5,2
1555951,Salikmata,2025-10-22,3.333,3
114645,Days of '36,1972-09-30,6.3,31
1223601,Sisu: Road to Revenge,2025-10-21,7.3,602
129,Spirited Away,2001-07-20,8.534,18069
1317149,I Swear,2025-09-22,8.313,120
13,Forrest Gump,1994-06-23,8.463,29384
550,Fight Club,1999-10-15,8.438,31621
980477,Ne Zha 2,2025-01-29,8.122,622
1497970,Tom and Jerry: Forbidden Compass,2025-08-02,5.775,20
1242501,Icefall,2025-10-16,6.419,142
1148474,SHINE 26,2015-04-03,0.0,0
468816,The Rising Hawk,2019-10-10,5.859,145
950396,The Gorge,2025-02-13,7.619,3507
201618,Secrets of Monte Carlo,1951-06-20,0.0,0
20304,Never Die Alone,2004-03-26,5.5,130
28774,Communion,1989-11-10,5.31,184
1646787,Sundutan,2026-03-06,4.0,1
11375,Hollywood Homicide,2003-06-09,5.231,685
217890,The Hook,1963-02-15,6.1,17
458576,Monster Hunter,2020-12-03,6.526,3507
191583,War Drums,1957-03-21,5.8,11
759584,Surrounded,2023-04-02,6.041,74
1077731,Mandela,2023-01-19,0.0,0
1196067,Worldbreaker,2025-10-30,5.916,101
1813,The Devil's Advocate,1997-10-17,7.466,6657
465212,Deadly Game,1982-09-03,2.6,5
14001,Dead Silence,2007-03-16,6.445,2412
14262,Desperate Living,1977-05-27,6.4,114
1401281,The Testament of Ann Lee,2025-12-25,6.7,73
1389149,Accused,2026-02-27,5.196,56
497,The Green Mile,1999-12-10,8.505,18956
475557,Joker,2019-10-01,8.126,27430
872585,Oppenheimer,2023-07-19,8.0,11484
1406657,Scarlet,2025-11-21,6.2,23
105,Back to the Future,1985-07-03,8.325,21493
1412646,Kesari Veer,2025-05-23,6.667,3
461285,Love's Greatest Mistake,1927-02-20,0.0,0
807,Se7en,1995-09-22,8.379,22775
1589891,A Time for Bravery,2025-12-18,7.5,84
769,GoodFellas,1990-09-12,8.452,14112
10138,Iron Man 2,2010-04-28,6.851,22156
372058,Your Name.,2016-08-26,8.479,12356
240,The Godfather Part II,1974-12-20,8.572,13697
1267319,Mantis,2025-09-25,6.267,150
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.393,16963
1032892,In the Blink of an Eye,2026-01-26,5.1,74
639988,No Other Choice,2025-09-24,7.565,828
1258151,Kraken,2025-04-17,6.283,46
424,Schindler's List,1993-12-15,8.567,17219
181808,Star Wars: The Last Jedi,2017-12-13,6.757,16156
216015,Fifty Shades of Grey,2015-02-11,5.871,12291
226674,The Adolescent,1979-01-24,4.3,12
303193,Food Chain,2014-09-17,5.7,3
315635,Spider-Man: Homecoming,2017-07-05,7.329,22938
1429605,F Valentine's Day,2026-02-12,6.3,57
361743,Top Gun: Maverick,2022-05-21,8.154,10671
1631485,Strangers in the Park,2026-02-19,6.219,16
1629382,Street Flow 3,2026-03-04,5.338,37
1321179,The King's Warden,2026-02-04,7.5,6
1429738,Tee Yai: Born to Be Bad,2025-11-12,5.3,45
4232,Scream,1996-12-20,7.427,7774
519182,Despicable Me 4,2024-06-20,6.988,3107
1241983,Train Dreams,2025-11-05,7.33,855
569094,Spider-Man: Across the Spider-Verse,2023-05-31,8.333,8351
62201,Shahenshah,1988-01-29,6.3,25
1205225,Gates of Flesh,2025-04-08,5.889,36
9276,The Faculty,1998-12-25,6.562,2194
1643729,Ishqa'n De Lekhe,2026-03-06,0.0,0
711651,Beginner's Luck,2021-09-10,0.0,0
158939,Something About Amelia,1984-01-09,5.5,15
1184918,The Wild Robot,2024-09-12,8.309,5814
941109,Play Dirty,2025-09-30,6.586,581
862,Toy Story,1995-11-22,7.971,19647
1633264,Louis Theroux: Inside the Manosphere,2026-03-10,0.0,0
1022789,Inside Out 2,2024-06-11,7.548,6524
556073,Monkey King Looks West,1992-07-10,0.0,0
88651,Number One Fan,1995-09-26,2.333,6
672,Harry Potter and the Chamber of Secrets,2002-11-13,7.704,23340
350,The Devil Wears Prada,2006-06-29,7.387,12834
1489187,You Drive Me Crazy,2025-10-09,8.2,8
118490,Jedda,1955-05-05,5.9,9
541671,Ballerina,2025-06-04,7.249,2409
335984,Blade Runner 2049,2017-10-04,7.59,14887
93462,Who's the Caboose?,1997-04-10,4.5,9
1252037,The Tank,2025-09-18,7.09,373
244786,Whiplash,2014-10-10,8.374,16405
11,Star Wars,1977-05-25,8.201,22053
354912,Coco,2017-10-27,8.198,20748
967941,Wicked: For Good,2025-11-19,6.635,880
109445,Frozen,2013-11-20,7.249,17419
1003596,Avengers: Doomsday,2026-12-16,0.0,0
574475,Final Destination Bloodlines,2025-05-14,7.054,2702
429617,Spider-Man: Far From Home,2019-06-28,7.396,16755
1010755,The Strangers: Chapter 3,2026-02-05,5.509,56
1035259,The Naked Gun,2025-07-30,6.366,1535
414906,The Batman,2022-03-01,7.657,11702
299534,Avengers: Endgame,2019-04-24,8.235,27375
982843,The Great Flood,2025-09-18,5.986,625
121,The Lord of the Rings: The Two Towers,2002-12-18,8.414,23568
1726,Iron Man,2008-04-30,7.656,27857
552524,Lilo & Stitch,2025-05-17,7.203,2071
218,The Terminator,1984-10-26,7.677,14373
210577,Gone Girl,2014-10-01,7.889,19743
939243,Sonic the Hedgehog 3,2024-12-19,7.618,3174
1328803,Prisoner of War,2025-09-19,7.106,160
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,7.135,11378
1243460,Joe's College Road Trip,2026-02-12,5.727,55
518749,The Snatch Thief,2018-06-07,6.464,14
1034716,People We Meet on Vacation,2026-01-06,7.045,508
986056,Thunderbolts*,2025-04-30,7.29,3303
139797,The Dwarfs,2002-11-01,4.7,3
4935,Howl's Moving Castle,2004-09-09,8.387,10894
293660,Deadpool,2016-02-09,7.622,32459
11427,Dead End,2003-12-12,6.364,590
49051,The Hobbit: An Unexpected Journey,2012-12-12,7.368,19423
286687,Love Lesson,2013-12-05,6.8,42
14836,Coraline,2009-02-05,7.9,8824
